Forma;Numero_lados;Color;Tamano;Direccion
Triangulo;3;Amarillo;Grande;Arriba
Circulo;0;Rojo;Grande;Ninguna
Rectangulo;4;Verde;Mediano;Horizontal
Triangulo;3;Azul;Grande;Derecha
Cuadrado;4;Rojo;Grande;Ninguna
Cuadrado;4;Amarillo;Mediano;Ninguna
Circulo;0;Verde;Mediano;Ninguna
Rectangulo;4;Rojo;Pequeno;Vertical
Cuadrado;4;Verde;Grande;Ninguna
Triangulo;3;Rojo;Grande;Derecha
Rectangulo;4;Amarillo;Mediano;Diagonal ascendente
Triangulo;3;Verde;Pequeno;Arriba
Circulo;0;Amarillo;Mediano;Ninguna
Rectangulo;4;Verde;Grande;Horizontal
Circulo;0;Azul;Grande;Ninguna
Cuadrado;4;Azul;Grande;Ninguna
Triangulo;3;Amarillo;Grande;Arriba
Triangulo;3;Amarillo;Grande;Derecha
Triangulo;3;Amarillo;Mediano;Arriba
Triangulo;3;Amarillo;Grande;Arriba
Triangulo;3;Amarillo;Pequeno;Derecha
Triangulo;3;Amarillo;Mediano;Derecha
Triangulo;3;Rojo;Grande;Derecha
Triangulo;3;Rojo;Grande;Arriba
Triangulo;3;Rojo;Grande;Derecha
Triangulo;3;Rojo;Mediano;Arriba
Triangulo;3;Rojo;Pequeno;Derecha
Triangulo;3;Rojo;Grande;Arriba
Triangulo;3;Verde;Pequeno;Arriba
Triangulo;3;Verde;Mediano;Derecha
Triangulo;3;Verde;Grande;Arriba
Triangulo;3;Verde;Pequeno;Derecha
Triangulo;3;Verde;Mediano;Arriba
Triangulo;3;Verde;Grande;Arriba
Triangulo;3;Azul;Grande;Derecha
Triangulo;3;Azul;Grande;Arriba
Triangulo;3;Azul;Grande;Derecha
Circulo;0;Verde;Grande;Ninguna
Circulo;0;Verde;Mediano;Ninguna
Circulo;0;Verde;Grande;Ninguna
Circulo;0;Verde;Mediano;Ninguna
Circulo;0;Verde;Pequeno;Ninguna
Circulo;0;Verde;Grande;Ninguna
Circulo;0;Amarillo;Grande;Ninguna
Circulo;0;Amarillo;Mediano;Ninguna
Circulo;0;Amarillo;Mediano;Ninguna
Circulo;0;Amarillo;Pequeno;Ninguna
Circulo;0;Amarillo;Grande;Ninguna
Circulo;0;Rojo;Grande;Ninguna
Circulo;0;Rojo;Grande;Ninguna
Circulo;0;Rojo;Mediano;Ninguna
Circulo;0;Rojo;Pequeno;Ninguna
Circulo;0;Rojo;Grande;Ninguna
Circulo;0;Azul;Grande;Ninguna
Circulo;0;Azul;Mediano;Ninguna
Circulo;0;Azul;Mediano;Ninguna
Circulo;0;Azul;Grande;Ninguna
Circulo;0;Azul;Mediano;Ninguna
Rectangulo;4;Verde;Grande;Horizontal
Rectangulo;4;Verde;Grande;Horizontal
Rectangulo;4;Verde;Mediano;Horizontal
Rectangulo;4;Verde;Grande;Vertical
Rectangulo;4;Verde;Pequeno;Diagonal ascendente
Rectangulo;4;Verde;Grande;Horizontal
Rectangulo;4;Verde;Mediano;Vertical
Rectangulo;4;Verde;Grande;Horizontal
Rectangulo;4;Amarillo;Grande;Horizontal
Rectangulo;4;Amarillo;Mediano;Diagonal ascendente
Rectangulo;4;Amarillo;Grande;Horizontal
Rectangulo;4;Amarillo;Pequeno;Vertical
Rectangulo;4;Amarillo;Grande;Horizontal
Rectangulo;4;Rojo;Mediano;Diagonal ascendente
Rectangulo;4;Rojo;Grande;Horizontal
Rectangulo;4;Rojo;Pequeno;Vertical
Rectangulo;4;Rojo;Grande;Diagonal ascendente
Rectangulo;4;Rojo;Mediano;Horizontal
Rectangulo;4;Azul;Mediano;Vertical
Rectangulo;4;Azul;Grande;Horizontal
Rectangulo;4;Azul;Mediano;Diagonal ascendente
Cuadrado;4;Verde;Grande;Ninguna
Cuadrado;4;Verde;Grande;Ninguna
Cuadrado;4;Verde;Grande;Ninguna
Cuadrado;4;Verde;Mediano;Ninguna
Cuadrado;4;Verde;Grande;Ninguna
Cuadrado;4;Verde;Mediano;Ninguna
Cuadrado;4;Rojo;Grande;Ninguna
Cuadrado;4;Rojo;Grande;Ninguna
Cuadrado;4;Rojo;Mediano;Ninguna
Cuadrado;4;Rojo;Grande;Ninguna
Cuadrado;4;Rojo;Pequeno;Ninguna
Cuadrado;4;Amarillo;Grande;Ninguna
Cuadrado;4;Amarillo;Mediano;Ninguna
Cuadrado;4;Amarillo;Grande;Ninguna
Cuadrado;4;Amarillo;Grande;Ninguna
Cuadrado;4;Amarillo;Mediano;Ninguna
Cuadrado;4;Azul;Grande;Ninguna
Cuadrado;4;Azul;Grande;Ninguna
Cuadrado;4;Azul;Mediano;Ninguna
Cuadrado;4;Azul;Grande;Ninguna
Cuadrado;4;Azul;Grande;Ninguna
